name, gender
Aba,K
Abaca,K
Abacan,K
Abaç,K
Abay,E
Abayhan,E
Abaza,K
Abbas,E
Abdal,E
Abdi,E
Abdullah,E
Abdurrahman,E
Abdülâlim,E
Abdülazim,E
Abdülaziz,E
Abdülbaki,E
Abdülbari,E
Abdülbasir,E
Abdülbasit,E
Abdülcabbar,E
Abdülcebbar,E
Abdülcelil,E
Abdülcemal,E
Abdülcevat,E
Abdülezel,E
Abdülferit,E
Abdülfettah,E
Abdülgaffar,E
Abdülgaffur,E
Abdülgafur,E
Abdülgani,E
Abdülhadi,E
Abdülhak,E
Abdülhakim,E
Abdülhalik,E
Abdülhalim,E
Abdülhamit,E
Abdülkadir,E
Abdülkahhar,E
Abdülkerim,E
Abdüllâtif,E
Abdülmecit,E
Abdülmelik,E
Abdülmennan,E
Abdülmetin,E
Abdülnasır,E
Abdülvahap,E
Abdülvahit,E
Abdürrahim,E
Abdürrahman,E
Abdürrauf,E
Abdürreşit,E
Abdürrezzak,E
Abdüssamet,E
Abdüssami,E
Abdüsselâm,E
Abdüssemi,E
Abdüssettar,E
Abdüzzeki,E
Abgül,K
Abher,K
Abıhayat,K
Abır,E
Abıru,K
Abid,E
Abide,K
Abidin,E
Abil,E
Abir,E
Abit,E
Abiye,K
Ablak,E
Abraş,E
Abruy,K
Abuşka,E
Abuzer,E
Abuzettin,E
Acabay,E
Acabey,E
Ağabay,E
Ağcabey,E
Akabay,E
Akabey,E
Akçabay,E
Alabaş,E
Alabay,E
Alabegim,K
Alabegüm,K
Alabezek,K
Almabanu,K
Anabacı,K
Anabörü,K
Atabay,E
Atabek,E
Atabey,E
Atabörü,E
Ayaba,K
Babacan,E
Babaç,E
Babayiğit,E
Babür,E
Babürşah,E
Balaban,E
Cabbar,E
Cabir,E
Çaba,E
Çabar,E
Farabi,E
Gültab,K
Hicabi,E
İsabet,K
Kabadayı,E
Kaban,E
Kabil,E
Kamertab,K
Karabaş,E
Karabatak,E
Karabay,E
Karabet,E
Karabey,E
Karaboğa,E
Karabörü,E
Karabudun,E
Karabuğday,E
Karabuğra,E
Karabulut,E
Karabükey,E
Karacabey,E
Kayrabay,E
Kocabaş,E
Kocabey,E
Mehabet,K
Muhabbet,K
Nabi,E
Nabia,K
Nabiye,K
Necabet,E
Necabettin,E
Nursabah,K
Nuşabe,K
Olcabay,E
Rabbani,E
Rabi,E
Rabia,K
Rabih,E
Saba,U
Sabah,U
Sabahat,K
Sabahattin,E
Sabahnur,K
Sabar,E
Sabbar,U
Sabıka,K
Sabır,K
Sabih,E
Sabiha,K
Sabir,U
Sabire,K
Sabit,E
Sabite,K
Sabiye,K
Sabri,E
Sabrinnisa,K
Sabriye,K
Sabur,E
Sabutay,E
Sahabi,E
Sarıcabay,E
Şaban,E
Şahabettin,E
Tabende,K
Tabgaç,E
Türabi,E
Yabalak,E
Yaban,E
Yabar,E
Yabgu,E
Yabız,E
Yalabuk,E
Yalazabay,E
Zabit,E
Zeynelabidin,E
Aca,E
Acahan,E
Acar,U
Acaralp,E
Acarbegüm,K
Acarbey,E
Acarbike,K
Acarbüke,K
Acarer,E
Acarhatun,K
Acarkan,U
Acarkatun,K
Acarman,E
Acaröz,E
Acarsoy,E
Acartürk,E
Acatay,E
Acıdaş,E
Aclan,E
Acun,E
Acunal,E
Acunalan,E
Acunalp,E
Acunbegim,K
Acunbegüm,K
Acunbike,K
Acunbüke,K
Acuner,E
Acungüneş,K
Acunışık,K
Acunman,E
Acunseven,E
Aça,K
Açalya,K
Açangül,K
Açelya,K
Açıkalın,E
Açıkel,E
Açıker,E
Açıkgün,E
Açıl,E
Açılay,K
Açine,E
Açkıngül,K
Adahan,E
Adak,U
Adal,U
Adalan,E
Adalet,K
Adalettin,E
Adam,E
Adamış,E
Adanan,E
Adanır,U
Adar,U
Adarkan,E
